5,14,שרון ספיבק,4,59.528,59.713,59.862,1:00.125,59.528,4.289
6,13,צוף בר שדה,4,1:09.665,1:09.042,1:07.914,1:07.586,1:07.586,12.347
לא התחיל - DNS
7,24,שחר אלגזי,,-,-,-,-,-,-

קטגוריה ב' - 200 - 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,22,ניר מי פז,4,54.722,54.609,54.980,55.157,54.609,-
2,21,פיליפ רוזין,4,56.806,55.770,56.426,56.596,55.770,1.161
3,16,איל הלפרין,4,56.371,56.779,56.918,57.106,56.371,1.762
4,25,בדיר בדיר,4,57.982,57.827,57.737,57.332,57.332,2.723
5,20,שלומי לוי,4,57.399,57.349,57.714,58.097,57.349,2.740
6,18,צחי נגר,4,59.515,58.681,58.485,57.663,57.663,3.054
7,32,ארז סבג,4,58.676,59.020,59.284,1:08.130,58.676,4.067
8,19,פלג זורבי,4,1:00.419,1:00.736,59.536,1:00.027,59.536,4.927

קטגוריה ג' - מעל 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,35,כפיר צליח,4,53.623,53.958,54.236,54.205,53.623,-
2,29,מוטי נתן,3,54.060,53.640,57.275,-,53.640,0.017
3,23,אולג וסיליקוב,3,54.385,53.871,56.965,-,53.871,0.248
4,26,דקל נער,3,54.360,54.083,54.574,-,54.083,0.460
5,36,סימון אלישקוב,3,54.205,54.813,54.455,-,54.205,0.582
6,17,שקד ברכה,3,54.269,54.777,55.595,-,54.269,0.646
7,38,לוטן פלג,4,55.633,55.166,54.985,54.454,54.454,0.831
8,37,פיני אלישקוב,3,54.549,54.697,54.881,-,54.549,0.926
9,34,מיכאל ניאזוב,4,55.808,55.029,54.978,55.091,54.978,1.355
10,31,אלי אלבג,3,54.997,56.863,56.227,-,54.997,1.374
11,27,שלומי שביב,3,56.404,55.099,55.408,-,55.099,1.476
12,33,גל מן,4,1:00.564,1:00.986,58.711,58.942,58.711,5.088

קטגוריה א' - עד 200 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,30,משה ריימונד,3,57.902,58.118,57.580,57.580,-
2,24,שחר אלגזי,3,58.188,1:04.485,1:00.836,58.188,0.608
3,15,דימיטרי ספקטור,3,59.184,59.682,58.282,58.282,0.702
4,12,ניר לוי,3,58.748,58.481,58.511,58.481,0.901

קטגוריה ב' - 200 - 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,22,ניר מי פז,3,54.232,54.268,53.827,53.827,-
2,21,פיליפ רוזין,3,55.529,55.520,55.054,55.054,1.227
3,16,איל הלפרין,3,55.795,56.466,56.515,55.795,1.968
4,25,בדיר בדיר,3,57.059,56.802,56.491,56.491,2.664

קטגוריה ג' - מעל 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,29,מוטי נתן,3,52.537,51.199,51.704,51.199,-
2,27,שלומי שביב,3,52.100,52.137,51.776,51.776,0.577
3,23,אולג וסיליקוב,3,53.139,53.410,53.281,53.139,1.940
4,35,כפיר צליח,3,54.476,53.308,53.679,53.308,2.109

© כל הזכויות שמורות לתנועה מדידת זמנים
